=== PHASE A: Spawning child, writing pattern, sustained hold ===
HOLD 2026-07-30T05:41:08.421914 966, 246.67, 0
4, 195.37, 0
HOLD 2026-07-30T05:41:08.806713 966, 246.64, 0
4, 195.37, 0
HOLD 2026-07-30T05:41:08.958206 966, 246.64, 0
4, 195.44, 0
HOLD 2026-07-30T05:41:09.305154 966, 246.65, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:09.465230 966, 246.67, 0
4, 195.46, 0
HOLD 2026-07-30T05:41:09.756131 966, 246.71, 0
4, 195.46, 0
HOLD 2026-07-30T05:41:09.947412 966, 246.76, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:10.119136 966, 246.79, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:10.261153 966, 246.80, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:10.412334 966, 246.74, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:10.551322 966, 246.70, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:10.826660 966, 246.72, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:10.971630 966, 246.73, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:11.121271 966, 246.74, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:11.396960 966, 246.76, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:11.539451 966, 246.72, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:11.683259 966, 246.78, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:11.828164 966, 246.78, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:12.148224 966, 246.76, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:12.298113 966, 246.75, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:12.581295 966, 246.82, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:12.727710 966, 246.84, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:12.868198 966, 246.84, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:13.023957 966, 246.85, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:13.164020 966, 246.91, 0
4, 195.63, 0
HOLD 2026-07-30T05:41:13.314254 966, 246.95, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:13.600396 966, 246.88, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:13.925603 966, 246.88, 0
4, 195.44, 0
HOLD 2026-07-30T05:41:14.250684 966, 246.87, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:14.600026 966, 246.82, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:14.764524 966, 246.87, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:14.914073 966, 246.83, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:15.054151 966, 246.85, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:15.201826 966, 246.84, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:15.541786 966, 246.82, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:15.687261 966, 246.84, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:16.012483 966, 246.76, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:16.360874 966, 246.82, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:16.727395 966, 246.80, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:16.874026 966, 246.76, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:17.165140 966, 246.77, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:17.471484 966, 246.62, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:17.832025 966, 246.65, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:17.975331 966, 246.69, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:18.263343 966, 246.71, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:18.415196 966, 246.88, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:18.921981 966, 246.93, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:19.225759 966, 246.92, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:19.378267 966, 246.90, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:19.521899 966, 246.85, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:19.823320 966, 246.85, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:20.116857 966, 246.86, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:20.276096 966, 246.83, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:20.688642 966, 246.85, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:21.031006 966, 246.85, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:21.405299 966, 246.86, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:21.718544 966, 246.88, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:22.031685 966, 246.89, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:22.173460 966, 246.91, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:22.325251 966, 246.93, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:22.613081 966, 246.91, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:22.913079 966, 246.89, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:23.217423 966, 246.81, 0
4, 195.60, 0
HOLD 2026-07-30T05:41:23.396967 966, 246.84, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:23.956808 966, 246.92, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:24.509025 966, 246.85, 0
4, 195.44, 0
HOLD 2026-07-30T05:41:24.835762 966, 246.83, 0
4, 195.44, 0
HOLD 2026-07-30T05:41:25.225137 966, 246.84, 0
4, 195.44, 0
HOLD 2026-07-30T05:41:25.373833 966, 246.87, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:25.688686 966, 246.82, 0
4, 195.60, 0
HOLD 2026-07-30T05:41:26.216344 966, 246.88, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:26.377438 966, 246.85, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:26.538680 966, 246.96, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:26.849534 966, 247.01, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:27.147679 966, 246.93, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:27.523942 966, 246.93, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:27.671355 966, 246.87, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:27.954896 966, 246.87, 0
4, 195.46, 0
HOLD 2026-07-30T05:41:28.251080 966, 246.86, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:28.410504 966, 246.88, 0
4, 195.42, 0
HOLD 2026-07-30T05:41:28.729151 966, 246.92, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:29.045486 966, 246.99, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:29.371891 966, 247.01, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:29.517372 966, 247.04, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:29.684394 966, 247.08, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:30.191288 966, 247.06, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:30.340688 966, 247.02, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:30.485375 966, 247.02, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:30.634885 966, 247.01, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:30.779863 966, 247.02, 0
4, 195.42, 0
HOLD 2026-07-30T05:41:31.046244 966, 247.05, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:31.190864 966, 247.07, 0
4, 195.42, 0
HOLD 2026-07-30T05:41:31.347945 966, 247.11, 0
4, 195.33, 0
HOLD 2026-07-30T05:41:31.630232 966, 247.11, 0
4, 195.39, 0
HOLD 2026-07-30T05:41:31.927236 966, 247.16, 0
4, 195.41, 0
HOLD 2026-07-30T05:41:32.278271 966, 247.10, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:32.422710 966, 247.11, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:32.728610 966, 247.11, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:32.883313 966, 247.07, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:33.155720 966, 247.06, 0
4, 195.46, 0
HOLD 2026-07-30T05:41:33.308320 966, 247.07, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:33.566243 966, 247.03, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:33.719259 966, 247.06, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:34.005706 966, 246.97, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:34.541974 966, 246.98, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:34.698691 966, 247.01, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:35.029143 966, 247.03, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:35.176810 966, 247.06, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:35.323626 966, 247.03, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:35.621468 966, 247.01, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:35.766654 966, 247.04, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:36.052828 966, 247.03, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:36.207204 966, 247.02, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:36.514205 966, 247.03, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:36.842575 966, 246.99, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:37.200162 966, 247.01, 0
4, 195.67, 0
HOLD 2026-07-30T05:41:37.524798 966, 246.99, 0
4, 195.63, 0
HOLD 2026-07-30T05:41:37.668773 966, 247.01, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:38.026746 966, 246.99, 0
4, 195.46, 0
HOLD 2026-07-30T05:41:38.539705 966, 246.99, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:38.698647 966, 246.97, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:38.962379 966, 246.95, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:39.257364 966, 246.98, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:39.419694 966, 246.99, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:39.715621 966, 247.03, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:39.857807 966, 247.05, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:40.157303 966, 247.08, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:40.433890 966, 247.09, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:40.586040 966, 247.10, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:40.731708 966, 247.10, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:40.876365 966, 246.92, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:41.368767 966, 246.93, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:41.515620 966, 246.95, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:41.809206 966, 247.00, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:41.984143 966, 247.08, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:42.252196 966, 247.09, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:42.616854 966, 247.02, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:42.777857 966, 246.97, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:43.121392 966, 246.96, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:43.416711 966, 246.95, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:43.560513 966, 247.03, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:43.914939 966, 247.06, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:44.431064 966, 247.07, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:44.578560 966, 247.10, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:44.730095 966, 247.05, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:45.023651 966, 247.11, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:45.390927 966, 247.07, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:45.641944 966, 247.05, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:45.961797 966, 247.07, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:46.123830 966, 247.06, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:46.463183 966, 247.10, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:46.743720 966, 247.05, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:47.044208 966, 247.06, 0
4, 195.65, 0
HOLD 2026-07-30T05:41:47.410794 966, 246.99, 0
4, 195.69, 0
HOLD 2026-07-30T05:41:47.789794 966, 247.02, 0
4, 195.66, 0
HOLD 2026-07-30T05:41:48.095432 966, 246.99, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:48.244774 966, 246.99, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:48.596742 966, 247.00, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:48.744813 966, 247.03, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:49.064185 966, 247.05, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:49.216375 966, 247.10, 0
4, 195.64, 0
HOLD 2026-07-30T05:41:49.569683 966, 247.13, 0
4, 195.66, 0
HOLD 2026-07-30T05:41:49.722501 966, 247.13, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:50.246106 966, 247.03, 0
4, 195.60, 0
HOLD 2026-07-30T05:41:50.662683 966, 247.02, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:50.835306 966, 246.97, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:51.141231 966, 246.93, 0
4, 195.65, 0
HOLD 2026-07-30T05:41:51.283282 966, 247.01, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:51.562270 966, 247.04, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:51.852864 966, 247.07, 0
4, 195.64, 0
HOLD 2026-07-30T05:41:52.196379 966, 247.05, 0
4, 195.66, 0
HOLD 2026-07-30T05:41:52.446205 966, 247.05, 0
4, 195.66, 0
HOLD 2026-07-30T05:41:52.763369 966, 247.05, 0
4, 195.60, 0
HOLD 2026-07-30T05:41:53.067496 966, 247.06, 0
4, 195.60, 0
HOLD 2026-07-30T05:41:53.215744 966, 247.06, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:53.735331 966, 247.09, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:53.881434 966, 247.15, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:54.227570 966, 247.14, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:54.369492 966, 247.14, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:54.650331 966, 247.12, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:55.006702 966, 247.11, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:55.162435 966, 247.11, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:55.312683 966, 247.09, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:55.475497 966, 247.07, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:55.863735 966, 247.10, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:56.109112 966, 247.09, 0
4, 195.61, 0
HOLD 2026-07-30T05:41:56.261060 966, 247.07, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:56.563074 966, 247.07, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:56.842972 966, 247.12, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:57.157049 966, 247.12, 0
4, 195.56, 0
HOLD 2026-07-30T05:41:57.317116 966, 247.14, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:57.462208 966, 247.19, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:57.774716 966, 247.18, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:57.926354 966, 247.14, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:58.069540 966, 247.14, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:58.355660 966, 247.12, 0
4, 195.62, 0
HOLD 2026-07-30T05:41:58.650901 966, 247.10, 0
4, 195.63, 0
HOLD 2026-07-30T05:41:59.024744 966, 247.06, 0
4, 195.64, 0
HOLD 2026-07-30T05:41:59.171710 966, 247.01, 0
4, 195.65, 0
HOLD 2026-07-30T05:41:59.485108 966, 246.98, 0
4, 195.75, 0
HOLD 2026-07-30T05:41:59.830214 966, 246.95, 0
4, 195.74, 0
HOLD 2026-07-30T05:41:59.975753 966, 246.95, 0
4, 195.71, 0
HOLD 2026-07-30T05:42:00.264266 966, 246.90, 0
4, 195.73, 0
HOLD 2026-07-30T05:42:00.414156 966, 247.01, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:00.725636 966, 247.08, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:01.031843 966, 247.15, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:01.181289 966, 247.18, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:01.440860 966, 247.14, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:01.757801 966, 247.10, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:02.056688 966, 247.07, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:02.209211 966, 247.06, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:02.511819 966, 247.08, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:02.873022 966, 247.08, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:03.161328 966, 247.12, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:03.312634 966, 247.16, 0
4, 195.73, 0
HOLD 2026-07-30T05:42:03.618217 966, 247.15, 0
4, 195.74, 0
HOLD 2026-07-30T05:42:03.761921 966, 247.12, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:04.028532 966, 247.13, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:04.172844 966, 247.12, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:04.319943 966, 247.13, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:04.459893 966, 247.08, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:04.740265 966, 247.08, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:04.883213 966, 247.11, 0
4, 195.70, 0
HOLD 2026-07-30T05:42:05.025780 966, 247.14, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:05.373385 966, 247.19, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:05.734799 966, 247.19, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:05.921252 966, 247.22, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:06.189509 966, 247.11, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:06.551654 966, 247.16, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:06.847950 966, 247.13, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:06.994508 966, 247.11, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:07.296551 966, 247.11, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:07.443991 966, 247.11, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:07.756958 966, 247.12, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:07.906782 966, 247.15, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:08.049374 966, 247.15, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:08.217200 966, 247.23, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:08.358624 966, 247.26, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:08.671027 966, 247.24, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:08.985621 966, 247.23, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:09.133433 966, 247.10, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:09.534398 966, 247.11, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:09.886444 966, 247.09, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:10.030532 966, 247.09, 0
4, 195.70, 0
HOLD 2026-07-30T05:42:10.173735 966, 247.18, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:10.499227 966, 247.17, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:10.644688 966, 247.16, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:10.939788 966, 247.15, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:11.160821 966, 247.14, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:11.428765 966, 247.14, 0
4, 195.50, 0
HOLD 2026-07-30T05:42:11.612205 966, 247.18, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:11.779688 966, 247.18, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:12.072140 966, 247.20, 0
4, 195.55, 0
HOLD 2026-07-30T05:42:12.220066 966, 247.21, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:12.521061 966, 247.11, 0
4, 195.67, 0
HOLD 2026-07-30T05:42:12.799085 966, 247.16, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:12.942162 966, 247.14, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:13.081935 966, 247.14, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:13.224895 966, 247.14, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:13.367510 966, 247.18, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:13.721825 966, 247.18, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:13.867019 966, 247.14, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:14.186218 966, 247.21, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:14.519081 966, 247.18, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:14.663034 966, 247.20, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:14.817146 966, 247.25, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:15.102945 966, 247.23, 0
4, 195.71, 0
HOLD 2026-07-30T05:42:15.414144 966, 247.23, 0
4, 195.70, 0
HOLD 2026-07-30T05:42:15.556839 966, 247.25, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:16.053774 966, 247.27, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:16.209232 966, 247.26, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:16.416530 966, 247.23, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:16.559434 966, 247.18, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:16.907111 966, 247.20, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:17.053097 966, 247.16, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:17.390526 966, 247.15, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:17.535720 966, 247.13, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:17.810683 966, 247.11, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:17.962003 966, 247.10, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:18.113511 966, 247.09, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:18.254836 966, 247.14, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:18.566133 966, 247.24, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:18.933137 966, 247.25, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:19.075484 966, 247.24, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:19.221598 966, 247.21, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:19.363400 966, 247.22, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:19.513616 966, 247.22, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:19.654975 966, 247.23, 0
4, 195.62, 0
